id,cat,name,type,brand,desc,notes,conc,img,sample_price,30ml_price,50ml_price,100ml_price,250ml_price
1,feminine,Armaf Club De Nuit Woman,Exact Match,Elysean Perfumes,"A bold and seductive feminine fragrance featuring juicy fruits, rich florals, and a warm sweet base that radiates confidence and femininity.","Apple, Rose, Jasmine, Vanilla, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,179,236,343,576
2,feminine,Armani Si,Exact Match,Elysean Perfumes,"Elegant feminine scent with blackcurrant, rose, and warm vanilla musk.","Blackcurrant, Rose, Vanilla, Musk, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,188,253,381,669
3,feminine,Armani Si,Inspiration,Elysean Perfumes,"Elegant feminine scent with blackcurrant, rose, and warm vanilla musk.","Blackcurrant, Rose, Vanilla, Musk, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,172,222,313,501
4,feminine,Avon Faraway Rebel,Inspiration,Elysean Perfumes,Bold floral-oriental with spicy woods and a seductive musky trail.,"Floral, Oriental, Spicy, Woods, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,172,223,315,508
5,feminine,Avon Justine Faraway,Inspiration,Elysean Perfumes,Warm oriental fragrance with sweet floral heart and amber base.,"Oriental, Floral, Amber, Sweet, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,177,232,335,556
6,feminine,Avroy Shlain Coppelia,Inspiration,Elysean Perfumes,Soft romantic floral with powdery iris and warm sandalwood finish.,"Floral, Iris, Sandalwood, Powdery, Romantic",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,177,232,334,554
7,feminine,Avroy Shlain Endangered For Her,Inspiration,Elysean Perfumes,Delicate floral bouquet with fresh green notes and gentle musk.,"Floral, Green, Musk, Fresh, Delicate",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,176,230,330,545
8,feminine,Avroy Shlain Js,Inspiration,Elysean Perfumes,Light feminine fragrance with fresh florals and a clean musky base.,"Floral, Fresh, Musk, Clean, Light",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,177,232,335,556
9,feminine,Avroy Shlain Tabasheer,Inspiration,Elysean Perfumes,"Warm exotic scent with bamboo, soft florals, and creamy woods.","Bamboo, Floral, Woods, Creamy, Exotic",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,176,231,333,550
10,feminine,Azzaro Wanted For Her,Inspiration,Elysean Perfumes,"Sparkling floral-oriental with bergamot, jasmine, and warm vanilla.","Bergamot, Jasmine, Vanilla, Floral, Oriental",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,181,240,351,597
11,feminine,B&B Works Beautiful Day,Exact Match,Elysean Perfumes,"Fresh floral blend with bright citrus, soft petals, and light musk.","Citrus, Floral, Petals, Musk, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,171,221,311,497
12,feminine,B&B Works Black Cherry Merlot White Barn,Exact Match,Elysean Perfumes,"Rich and intoxicating blend of dark cherry, ripe merlot, and warm vanilla with a touch of oak for a luxurious, sensual feel.","Black Cherry, Merlot, Vanilla, Oak, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,178,234,338,565
13,feminine,B&B Works Champagne Toast,Exact Match,Elysean Perfumes,"Festive sparkling scent with bubbly citrus, peach, and sweet musk.","Citrus, Peach, Musk, Sweet, Sparkling",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,172,223,314,504
14,feminine,B&B Works Cinnamon Spiced Vanilla,Exact Match,Elysean Perfumes,"Warm and cozy blend of spicy cinnamon, sweet vanilla, and soft woods.","Cinnamon, Vanilla, Woods, Spicy, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,165,209,284,430
15,feminine,B&B Works Dark Kiss,Exact Match,Elysean Perfumes,"Sensual dark floral with black cherry, wild berries, and warm musk.","Cherry, Berries, Musk, Floral, Dark",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,174,227,323,527
16,feminine,B&B Works Fiji Sunrise,Exact Match,Elysean Perfumes,"Tropical citrus blend with bright mango, coconut, and beach florals.","Mango, Coconut, Citrus, Floral, Tropical",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,175,228,325,533
17,feminine,B&B Works Hello Beautiful,Exact Match,Elysean Perfumes,"Uplifting floral with fresh peony, soft rose, and light cedarwood.","Peony, Rose, Cedarwood, Floral, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,172,222,313,503
18,feminine,B&B Works Iced Sugar Plum,Exact Match,Elysean Perfumes,"Sweet and playful fragrance with juicy sugar plum, frosted berries, and creamy vanilla for a delightful winter-inspired scent.","Sugar Plum, Berry, Vanilla, Frosted Sugar, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,166,212,291,446
19,feminine,B&B Works Into The Night,Exact Match,Elysean Perfumes,"Mysterious and alluring night-time scent with dark fruits, warm florals, and a deep vanilla-amber base.","Black Cherry, Jasmine, Vanilla, Amber, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,181,240,352,598
20,feminine,B&B Works Japanese Cherry Blossom,Exact Match,Elysean Perfumes,"Delicate floral with sweet cherry blossom, fresh petals, and soft musk.","Cherry Blossom, Petals, Musk, Floral, Sweet",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,172,223,315,506
21,feminine,B&B Works Noir Cologne,Exact Match,Elysean Perfumes,"Dark and mysterious blend with smoky woods, amber, and black musk.","Smoky, Woods, Amber, Musk, Dark",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,173,225,320,518
22,feminine,B&B Works Pink Pineapple Sunrise,Exact Match,Elysean Perfumes,"Fun tropical blend with juicy pineapple, citrus, and soft florals.","Pineapple, Citrus, Floral, Tropical, Fruity",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,182,242,357,611
23,feminine,B&B Works Pure Wonder,Exact Match,Elysean Perfumes,"Clean and dreamy scent with soft florals, sheer musk, and light woods.","Floral, Musk, Woods, Clean, Dreamy",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,187,251,376,659
24,feminine,B&B Works Sea Island Shore,Exact Match,Elysean Perfumes,"Fresh coastal scent with sea salt, driftwood, and tropical florals.","Sea Salt, Driftwood, Floral, Coastal, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,181,241,353,602
25,feminine,B&B Works Twilight Woods,Exact Match,Elysean Perfumes,"Warm earthy fragrance with amber, cedar, and soft woodland florals.","Amber, Cedar, Floral, Earthy, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,182,241,355,605
26,feminine,B&B Works Twisted Peppermint,Exact Match,Elysean Perfumes,Cool and festive mint with sweet candy and icy frosted freshness.,"Mint, Candy, Fresh, Cool, Sweet",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,186,249,371,646
27,feminine,B&B Works Vanilla Bean Noel,Exact Match,Elysean Perfumes,"Cozy sweet vanilla with warm sugar, buttercream, and soft musk.","Vanilla, Sugar, Buttercream, Musk, Sweet",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,168,215,296,460
28,feminine,B&B Works Warm Vanilla Sugar,Exact Match,Elysean Perfumes,"Cozy and addictive gourmand fragrance filled with warm vanilla, brown sugar, and a touch of creamy sweetness.","Vanilla, Brown Sugar, Buttercream, Musk, Tonka Bean",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,172,222,313,501
29,feminine,B&B Works Watermelon Lemonade,Exact Match,Elysean Perfumes,"Bright and juicy blend of fresh watermelon, tart lemon, and citrus zest.","Watermelon, Lemon, Citrus, Fruity, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,173,224,318,513
30,feminine,Baccarat Rouge,Inspiration,Elysean Perfumes,"Warm, sweet and mysterious gourmand fragrance with creamy vanilla, cocoa, and soft fruity undertones.","Vanilla, Cocoa, Sugar, Red Berries, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,274,415,737,"1,552"
31,feminine,Beyonce Heat,Inspiration,Elysean Perfumes,"Sultry and sensual blend of red berries, peach, magnolia, and warm musk.","Berries, Peach, Magnolia, Musk, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,175,228,326,534
32,feminine,Billie Eilish Eilish,Exact Match,Elysean Perfumes,"Sophisticated woody-floral with cedarwood, rose, and soft powdery notes for an elegant and refined aura.","Cedarwood, Rose, Jasmine, Powder, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,171,221,309,493
33,feminine,Britney Spears Fantasy,Exact Match,Elysean Perfumes,"Sweet playful scent with kiwi, jasmine, cupcake accord, and musk.","Kiwi, Jasmine, Vanilla, Musk, Sweet",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,188,252,379,666
34,feminine,Britney Spears Fantasy,Inspiration,Elysean Perfumes,"Sweet playful scent with kiwi, jasmine, cupcake accord, and musk.","Kiwi, Jasmine, Vanilla, Musk, Sweet",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,180,239,349,591
35,feminine,Burberry Her,Inspiration,Elysean Perfumes,"Vibrant fruity floral with berry, jasmine, violet, and soft amber.","Berry, Jasmine, Violet, Amber, Floral",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,175,229,328,540
36,feminine,Bvlgari Omnia,Inspiration,Elysean Perfumes,"Warm oriental spice with Indian tea, cardamom, and sandalwood.","Tea, Cardamom, Sandalwood, Spice, Oriental",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,179,236,343,575
37,feminine,Bvlgari Omnia 2003 Original,Inspiration,Elysean Perfumes,"Original warm spiced floral with saffron, henna, and precious woods.","Saffron, Henna, Woods, Floral, Spiced",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,180,239,349,591
38,feminine,Bvlgari Omnia Crystalline Original,Exact Match,Elysean Perfumes,"Sheer and luminous floral with bamboo, lotus, and icy white notes.","Bamboo, Lotus, Floral, Sheer, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,200,275,429,788
39,feminine,Cacharel Amor Amor,Inspiration,Elysean Perfumes,"Passionate floral-fruity with orange, jasmine, and warm vanilla musk.","Orange, Jasmine, Vanilla, Floral, Fruity",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,178,234,338,563
40,feminine,Cacharel Anais Anais,Inspiration,Elysean Perfumes,"Soft romantic white floral with lily, rose, and powdery iris.","Lily, Rose, Iris, Floral, Powdery",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,178,234,338,563
41,feminine,Cacharel Yes I Am,Inspiration,Elysean Perfumes,"Bold fruity-floral with caramel, rose, and warm sandalwood.","Caramel, Rose, Sandalwood, Floral, Fruity",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,168,215,296,460
42,feminine,Calvin Klein Euphoria,Inspiration,Elysean Perfumes,"Sensual dark floral with pomegranate, black orchid, and warm amber.","Pomegranate, Black Orchid, Amber, Floral, Dark",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,187,251,377,660
43,feminine,Carolina Herrera 212 Vip Ladies,Inspiration,Elysean Perfumes,"Glamorous floral with champagne accord, gardenia, and warm musk.","Gardenia, Champagne, Musk, Floral, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,179,236,343,577
44,feminine,Carolina Herrera Good Girl,Exact Match,Elysean Perfumes,"Iconic dual-nature scent with jasmine, tonka bean, and dark cocoa.","Jasmine, Tonka Bean, Cocoa, Floral, Dark",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,195,267,412,746
45,feminine,Carolina Herrera Good Girl,Inspiration,Elysean Perfumes,"Iconic dual-nature scent with jasmine, tonka bean, and dark cocoa.","Jasmine, Tonka Bean, Cocoa, Floral, Dark",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,180,239,349,591
46,feminine,Chanel Coco,Exact Match,Elysean Perfumes,"Rich oriental floral with rose, jasmine, vanilla, and precious woods.","Rose, Jasmine, Vanilla, Woods, Oriental",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,196,268,413,749
47,feminine,Chanel Coco Madam,Inspiration,Elysean Perfumes,"Modern floral chypre with grapefruit, rose, and white musk.","Grapefruit, Rose, White Musk, Floral, Chypre",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,180,239,349,591
48,feminine,Chanel Coco Madam,Exact Match,Elysean Perfumes,"Modern floral chypre with grapefruit, rose, and white musk.","Grapefruit, Rose, White Musk, Floral, Chypre",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,201,278,434,802
49,feminine,Chanel No. 5,Inspiration,Elysean Perfumes,"Timeless classic aldehyde floral with rose, ylang-ylang, and sandalwood.","Rose, Ylang-Ylang, Sandalwood, Aldehyde, Floral",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,175,228,325,533
50,feminine,Chloe Atelier Des Fleurs Cedrus,Exact Match,Elysean Perfumes,"Romantic and feminine with juicy fruits, delicate florals, and a soft vanilla base.","Pear, Rose, Jasmine, Vanilla, Musk",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,205,285,452,845
51,feminine,Chloe Love Story,Inspiration,Elysean Perfumes,"Fresh romantic floral with orange blossom, stephanotis, and cedarwood.","Orange Blossom, Stephanotis, Cedarwood, Floral, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,184,246,364,629
52,feminine,Christian Dior Holy Peony,Inspiration,Elysean Perfumes,"Luminous peony-centred floral with rose, lychee, and soft musk.","Peony, Rose, Lychee, Musk, Floral",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,190,257,390,692
53,feminine,Christian Dior Hypnotic Poison,Inspiration,Elysean Perfumes,"Dark seductive scent with bitter almond, jasmine, and warm vanilla.","Almond, Jasmine, Vanilla, Dark, Seductive",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,175,228,325,533
54,feminine,Christian Dior Jadore,Inspiration,Elysean Perfumes,"Luxurious feminine floral with ylang-ylang, rose, and jasmine accord.","Ylang-Ylang, Rose, Jasmine, Floral, Luxurious",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,169,218,303,478
55,feminine,Christian Dior Poison Girl,Inspiration,Elysean Perfumes,"Sweet and bold with bitter orange, rose, and warm vanilla accord.","Orange, Rose, Vanilla, Sweet, Bold",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,189,254,384,676
56,feminine,Christian Dior Poison,Inspiration,Elysean Perfumes,"Dramatic oriental floral with tuberose, plum, and rich amber base.","Tuberose, Plum, Amber, Floral, Oriental",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,181,240,351,597
57,feminine,Clinique Aromatics Elixir,Inspiration,Elysean Perfumes,"Distinctive chypre with rose, chamomile, oakmoss, and patchouli.","Rose, Chamomile, Oakmoss, Patchouli, Chypre",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,178,234,339,566
58,feminine,Clinique Happy,Inspiration,Elysean Perfumes,"Bright uplifting floral with citrus, spring mimosa, and clean musk.","Citrus, Mimosa, Musk, Floral, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,184,245,363,625
59,feminine,Coty Exclamation,Inspiration,Elysean Perfumes,"Classic affordable oriental with rose, jasmine, and warm musky base.","Rose, Jasmine, Musk, Oriental, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,178,235,341,570
60,feminine,D&G The One Gold Female Type,Exact Match,Elysean Perfumes,"Opulent floral oriental with peach, lily, and warm amber.","Peach, Lily, Amber, Floral, Oriental",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,192,260,396,708
61,feminine,Davidof Cool Water Ladies,Inspiration,Elysean Perfumes,"Fresh aquatic floral with melon, green notes, and soft sandalwood.","Melon, Green, Sandalwood, Aquatic, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,178,234,338,563
62,feminine,Dkny Be Delicious Fresh Blossom,Inspiration,Elysean Perfumes,"Crisp floral with pink grapefruit, white florals, and fresh cedarwood.","Grapefruit, Floral, Cedarwood, Crisp, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,165,209,284,430
63,feminine,Dkny Be Delicious Green,Inspiration,Elysean Perfumes,"Fresh green apple, magnolia, and light musky woods.","Green Apple, Magnolia, Musk, Woods, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,177,232,335,556
64,feminine,Dkny Women Eau De Parfum,Inspiration,Elysean Perfumes,"Vibrant floral bouquet with apple blossom, violet, and soft musk.","Apple Blossom, Violet, Musk, Floral, Vibrant",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,170,219,307,487
65,feminine,Dkyn Be Delicious (Original),Exact Match,Elysean Perfumes,Iconic fresh green apple scent with floral heart and light cedar.,"Green Apple, Floral, Cedar, Fresh, Iconic",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,199,273,425,779
66,feminine,Dolce & Gabbana Light Blue Femme,Inspiration,Elysean Perfumes,"Fresh Mediterranean citrus with apple, bamboo, and white rose.","Citrus, Apple, Bamboo, Rose, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,178,235,341,570
67,feminine,Dolce & Gabbana The One For Her,Inspiration,Elysean Perfumes,"Sophisticated oriental floral with mandarin, lychee, and warm vanilla.","Mandarin, Lychee, Vanilla, Floral, Oriental",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,180,239,349,591
68,feminine,Elie Saab Le Parfum,Inspiration,Elysean Perfumes,"Feminine floral-woody with orange blossom, rose, and patchouli.","Orange Blossom, Rose, Patchouli, Floral, Woody",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,177,232,333,552
69,feminine,Elizabeth Arden 5th Avenue,Inspiration,Elysean Perfumes,"Elegant floral bouquet with magnolia, lilac, rose, and warm woods.","Magnolia, Lilac, Rose, Woods, Floral",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,175,229,327,536
70,feminine,Elizabeth Arden Red Door,Inspiration,Elysean Perfumes,"Classic rich floral with rose, jasmine, ylang-ylang, and sandalwood.","Rose, Jasmine, Ylang-Ylang, Sandalwood, Floral",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,180,237,346,582
71,feminine,Elizabeth Arden Sunflowers,Inspiration,Elysean Perfumes,"Bright sunny floral with orange blossom, rose, and fresh greenery.","Orange Blossom, Rose, Green, Floral, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,168,215,296,460
72,feminine,Elizabeth Arden White Tea,Exact Match,Elysean Perfumes,"Light and clean with delicate white tea, lotus, and soft musk.","White Tea, Lotus, Musk, Clean, Light",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,193,263,401,721
73,feminine,Elizabeth Taylor White Diamonds,Inspiration,Elysean Perfumes,"Timeless opulent floral with rose, neroli, lily, and warm amber.","Rose, Neroli, Lily, Amber, Floral",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,175,228,325,533
74,feminine,Ellie Saab Girl Of Now,Exact Match,Elysean Perfumes,"Fresh floral with grapefruit, magnolia, and light woody musk.","Grapefruit, Magnolia, Musk, Floral, Fresh",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,185,248,368,639
75,feminine,Escada Taj Sunset,Inspiration,Elysean Perfumes,"Fruity-oriental with mango, orange blossom, amber, and warm woods.","Mango, Orange Blossom, Amber, Woods, Fruity",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,178,234,338,563
76,feminine,Estee Lauder Beautiful,Inspiration,Elysean Perfumes,"Romantic multi-floral bouquet with rose, lily, and soft sandalwood.","Rose, Lily, Sandalwood, Floral, Romantic",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,186,249,371,646
77,feminine,Estee Lauder Knowing,Inspiration,Elysean Perfumes,"Sophisticated chypre floral with rose, jasmine, and mossy woods.","Rose, Jasmine, Oakmoss, Chypre, Woody",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,182,242,356,607
78,feminine,Estee Lauder White Linen,Inspiration,Elysean Perfumes,"Clean fresh aldehydic floral with rose, lilac, and crisp musk.","Rose, Lilac, Musk, Aldehyde, Clean",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,186,248,371,645
79,feminine,Fire And Ice,Inspiration,Elysean Perfumes,"Bold contrast scent with spicy florals, warm amber, and icy freshness.","Spice, Floral, Amber, Fresh, Bold",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,165,211,287,439
80,feminine,Fugazzi Vanilla Haze,Exact Match,Elysean Perfumes,"Dreamy warm vanilla with soft musk, light woods, and creamy sweetness.","Vanilla, Musk, Woods, Creamy, Warm",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,191,259,394,701
81,feminine,Giucci Gucci Flora,Inspiration,Elysean Perfumes,"Delicate feminine floral with peach rose, magnolia, and sandalwood.","Rose, Magnolia, Sandalwood, Peach, Floral",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,182,242,356,607
82,feminine,Givenchy Absolutely Irresistible,Inspiration,Elysean Perfumes,"Vibrant fruity floral with raspberry, rose, and soft warm musk.","Raspberry, Rose, Musk, Floral, Fruity",Eau de Parfum — 20%,images/ProductCoverImage-Fem.png,50,193,263,401,721
